Year,Selling_Price,Present_Price,Kms_Driven
2014,0.42,0.81,42000
2013,0.42,0.73,12000
2015,0.4,0.54,14000
2012,0.4,0.83,5500
2015,0.4,0.55,6700
2014,0.4,0.64,13700
2017,0.4,0.51,1300
2015,0.38,0.72,38600
2011,0.38,0.787,75000
2011,0.35,1.05,30000
2016,0.35,0.57,24000
2014,0.35,0.52,19000
2010,0.31,1.05,213000
2012,0.3,0.51,60000
2016,0.3,0.48,50000
2013,0.3,0.58,30000
2013,0.27,0.47,21000
2008,0.25,0.75,26000
2008,0.25,0.58,1900
2010,0.25,0.52,22000
2013,0.25,0.51,32000
2013,0.25,0.57,18000
2005,0.2,0.57,55000
2008,0.2,0.75,60000
2012,0.2,0.57,25000
2007,0.2,0.75,49000
2013,0.2,0.65,24000
2008,0.2,0.787,50000
2015,0.18,0.32,35000
2008,0.17,0.52,500000
2010,0.16,0.51,33000
2011,0.15,0.57,35000
2007,0.12,0.58,53000
2006,0.1,0.75,92233
2010,3.25,6.79,58000
2015,4.4,5.7,28200
2011,2.95,4.6,53460
2015,2.75,4.43,28282
2016,5.25,5.7,3493
2017,5.75,7.13,12479
2015,5.15,5.7,34797
2017,7.9,8.1,3435
2015,4.85,5.7,21125
2012,3.1,4.6,35775
2015,11.75,14.79,43535
2016,11.25,13.6,22671
2011,2.9,6.79,31604
2017,5.25,5.7,20114
2012,4.5,9.4,36100
2016,2.9,4.43,12500
2016,3.15,4.43,15000
2014,6.45,9.4,45078
2012,4.5,9.4,36000
2017,3.5,4.43,38488
2013,4.5,6.79,32000
2014,6,7.6,77632
2015,8.25,9.4,61381
2013,5.11,9.4,36198
2011,2.7,4.6,22517
2015,5.25,5.7,24678
2011,2.55,4.43,57000
2012,4.95,9.4,60000
2012,3.1,6.79,52132
2013,6.15,9.4,45000
2017,9.25,9.4,15001
2015,11.45,14.79,12900
2013,3.9,5.7,53000
2015,5.5,5.7,4492
2017,9.1,9.4,15141
2016,3.1,4.43,11849
2015,11.25,13.6,68000
2013,4.8,9.4,60241
2012,2,4.43,23709
2012,5.35,9.4,32322
2015,4.75,7.13,35866
2014,4.4,7.13,34000
2016,6.25,7.6,7000
2013,5.95,9.4,49000
2012,5.2,9.4,71000
2012,3.75,6.79,35000
2015,5.95,9.4,36000
2013,4,4.6,30000
2016,5.25,7.6,17000
2016,12.9,13.6,35934
2013,5,9.9,56701
2015,5.4,6.82,31427
2014,7.2,9.9,48000
2013,5.25,9.9,54242
2012,3,5.35,53675
2016,10.25,13.6,49562
2015,8.5,13.6,40324
2015,8.4,13.6,25000
2014,3.9,7,36054
2016,9.15,13.6,29223
2016,5.5,5.97,5600
2015,4,5.8,40023
2016,6.6,7.7,16002
2015,4,7,40026
2017,6.5,8.7,21200
2014,3.65,7,35000
2016,8.35,9.4,19434
2017,4.8,5.8,19000
2015,6.7,10,18828
2011,4.1,10,69341
2009,3,10,69562
2015,7.5,10,27600
2010,2.25,7.5,61203
2014,5.3,6.8,16500
2016,10.9,13.6,30753
2015,8.65,13.6,24800
2015,9.7,13.6,21780
2016,6,8.4,4000
2014,6.25,13.6,40126
2015,5.25,5.9,14465
2006,2.1,7.6,50456
2014,8.25,14,63000
2016,8.99,11.8,9010
2013,3.5,5.9,9800
2016,7.4,8.5,15059
2016,5.65,7.9,28569
2015,5.75,7.5,44000
2015,8.4,13.6,34000
2016,10.11,13.6,10980
2014,4.5,6.4,19000
2015,5.4,6.1,31427
2016,6.4,8.4,12000
2010,3.25,9.9,38000
2014,3.75,6.8,33019
2015,8.55,13.09,60076
2016,9.5,11.6,33988
2015,4,5.9,60000
2009,3.35,11,87934
2017,11.5,12.5,9000
2016,5.3,5.9,5464
